Categorie annonce;Titre;Lieu;Prix;Chambres;Date brute;Date estimee;Type logement;Standing;Prix numerique;Chambres numeriques;Date NLP;Jours depuis publication;Annee publication;Mois publication;Jour publication;Quartier nettoye;Latitude;Longitude
Appartement;Appartement F5 à Louer Cité Mourtada - VDN;Nord foire;400 000 F Cfa;4 chambre;5. févr., 08:42;2026-02-05;F5;Standard;400000;4.0;2026-02-05;49;2026;2;5;Nord Foire;14.7526822;-17.4601185
Appartement;Appartement meublé standing À LOUER;Plateau;1 050 000 F Cfa;2 chambre;5. févr., 08:15;2026-02-05;Appartement;Meuble;1050000;2.0;2026-02-05;49;2026;2;5;Plateau;14.6768175;-17.4392915
Appartement;Appartement F4 à Keur Gorgui;Cité keur gorgui;550 000 F Cfa;3 chambre;5. févr., 07:24;2026-02-05;F4;Standard;550000;3.0;2026-02-05;49;2026;2;5;Cite Keur Gorgui;14.7116889;-17.4687165
Appartement;Appartement spacieux à la Sicap Foire;Sicap foire;400 000 F Cfa;3 chambre;4. févr., 15:04;2026-02-04;Appartement;Standard;400000;3.0;2026-02-04;50;2026;2;4;Sicap Foire;14.7413339;-17.4652931
Appartement;APPARTEMENT A LOUER FANN MERMOZ;Fenêtre mermoz;800 000 F Cfa;3 chambre;6. févr., 16:02;2026-02-06;Appartement;Standard;800000;3.0;2026-02-06;48;2026;2;6;Mermoz;14.7074454;-17.474397
Appartement;Studio à louer – Front de mer, Yoff Diamalaye;Yoff;290 000 F Cfa;1 chambre;4. févr., 15:41;2026-02-04;Studio;Standard;290000;1.0;2026-02-04;50;2026;2;4;Yoff;14.7603583;-17.468149
Appartement;Studio moderne à la zone de captage;Zone de captage;250 000 F Cfa;1 chambre;4. févr., 14:09;2026-02-04;Studio;Standard;250000;1.0;2026-02-04;50;2026;2;4;Zone De Captage;14.7340917;-17.4430318
Appartement;Villa à louer à la Sicap Foire;Sicap mbao;450 000 F Cfa;4 chambre;4. févr., 15:46;2026-02-04;Villa;Standard;450000;4.0;2026-02-04;50;2026;2;4;Sicap Mbao;14.7492429;-17.3519762
Appartement;Appartement F4 à louer vide en Centre-ville;Dakar;1 200 000 F Cfa;3 chambre;4. févr., 15:50;2026-02-04;F4;Standard;1200000;3.0;2026-02-04;50;2026;2;4;Dakar;14.693425;-17.447938
Appartement;APPARTEMENT A LOUER A NGOR;Ngor;400 000 F Cfa;3 chambre;4. févr., 13:32;2026-02-04;Appartement;Standard;400000;3.0;2026-02-04;50;2026;2;4;Ngor;14.7487915;-17.5149607
